LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price($),Order Price($)
C1848,CL31B105KBHNNNE,Samsung Electro-Mechanics,,1206,50V 1uF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,50\50,0.0168,1.68
C32856,KS106M050C07RR0VH2FP0,CX(Dongguan Chengxing Elec),,"Plugin,D4xL7mm","10uF 50V ±20% Plugin,D4xL7mm Aluminum Electrolytic Capacitors - Leaded ROHS",YES,50,50\50,0.012,0.60
C2063,KM227M035F12RR0VH2FP0,CX(Dongguan Chengxing Elec),,"Plugin,D8xL12mm","220uF 35V ±20% Plugin,D8xL12mm Aluminum Electrolytic Capacitors - Leaded ROHS",YES,10,10\10,0.0346,0.35
C14663,CC0603KRX7R9BB104,YAGEO,,0603,50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,100\100,0.0019,0.19
C437593,1N4005W,Shandong Jingdao Microelectronics,,SOD-123FL,1A Independent Type 600V 1.1V@1A SOD-123FL Diodes - General Purpose ROHS,YES,100,100\100,0.007,0.70
C908652,ES2JF,GOODWORK,,SMAF,1.7V@2A 35ns Independent Type 2A 600V SMAF Fast Recovery / High Efficiency Diodes ROHS,YES,20,20\20,0.0122,0.24
C173429,BZT52C12,MDD(Microdiode Semiconductor),,SOD-123,Independent Type 11.4V~12.7V 500mW 12V SOD-123 Zener Diodes ROHS,YES,50,50\50,0.0109,0.55
C2987730,LNK3206D-TL,POWER INTEGRATIONS,,SO-7,SO-7 AC-DC Controllers and Regulators ROHS,YES,3,1\1,0.8412,2.52
C724292,YNR5040-471M,YJYCOIN,,"SMD,5x5mm","470uH ±20% SMD,5x5mm Power Inductors ROHS",YES,5,5\5,0.0566,0.28
C96973,SWPA8040S681MT,Sunlord,,"SMD,8x8mm","450mA 680uH ±20% SMD,8x8mm Power Inductors ROHS",YES,5,5\5,0.104,0.52
C5128207,HSBA6224,HUASHUO,,PRPAK(5x6),"60V 50A 16mΩ@10V,12A 3.6W 2.5V@250uA 2 N-Channel PRPAK(5x6) MOSFETs ROHS",YES,6,1\1,0.2922,1.75
C25126,0402WGF5600TCE,UNI-ROYAL(Uniroyal Elec),,0402,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 560Ω 0402 Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.0006,0.06
C423084,0603WAD1212T5E,UNI-ROYAL(Uniroyal Elec),,0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±0.5% 12.1kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.0041,0.41
C104087,RTT05203JTP,RALEC,,0805,125mW Thick Film Resistors 150V ±100ppm/℃ ±5% 20kΩ 0805 Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.0041,0.41
C400682,ERJ3GEYJ273V,PANASONIC,,0603,100mW Thick Film Resistors ±5% ±200ppm/℃ 27kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.005,0.50
C403100,ERJ3EKF2491V,PANASONIC,,0603,100mW Thick Film Resistors ±100ppm/℃ ±1% 2.49kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.0049,0.49
C129558,V275LA4P,Littelfuse,,Plugin,710V 369V 275V 430V Plugin Varistors ROHS,YES,20,10\10,0.0605,1.21
C21189,0603WAF0000T5E,UNI-ROYAL(Uniroyal Elec),,0603,100mW Thick Film Resistors 75V ±1% 0Ω 0603 Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.001,0.10
C17408,0805W8F1000T5E,UNI-ROYAL(Uniroyal Elec),,0805,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 100Ω 0805 Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.0017,0.17
C304616,RC-02W4701FT,FH (Guangdong Fenghua Advanced Tech),,0402,62.5mW Thick Film Resistors 50V ±1% ±200ppm/℃ 4.7kΩ 0402 Chip Resistor - Surface Mount ROHS,YES,50,50\50,0.0004,0.02
