LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price($),Ext.Price($),Product Link
C25138,0402WGJ0101TCE,UNI-ROYAL(Uniroyal Elec),0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±5% 100Ω 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0005,0.05,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0402wgj0101tce_C25138.html
C4109,0402WGF2001TCE,UNI-ROYAL(Uniroyal Elec),0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 2kΩ 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0006,0.06,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0402wgf2001tce_C4109.html
C1729,CL21B223KBANNNC,Samsung Electro-Mechanics,0805,,50V 22nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0069,0.69,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl21b223kbannnc_C1729.html
C17415,0805W8F100JT5E,UNI-ROYAL(Uniroyal Elec),0805,,125mW Thick Film Resistors 150V ±1% ±200ppm/℃ 10Ω 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0015,0.15,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0805w8f100jt5e_C17415.html
C98192,CL21A475KBQNNNE,Samsung Electro-Mechanics,0805,,50V 4.7uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,20,20,0.0195,0.39,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl21a475kbqnnne_C98192.html
C167206,FXL0420-2R2-M,cjiang (Changjiang Microelectronics Tech),"SMD,4.2x4.4mm",,"4.5A 2.2uH Integrated molded inductor ±20% 5A SMD,4.2x4.4mm Power Inductors ROHS",yes,5,5,0.1827,0.91,https://www.lcsc.com/product-detail/power-inductors_cjiang-changjiang-microelectronics-tech-fxl0420-2r2-m_C167206.html
C60488,RC0402FR-072KL,YAGEO,0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 2kΩ 0402 Chip Resistor - Surface Mount ROHS,yes,200,100,0.0006,0.12,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_yageo-rc0402fr-072kl_C60488.html
C96446,CL10A106MA8NRNC,Samsung Electro-Mechanics,0603,,25V 10uF X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,50,0.0166,1.66,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl10a106ma8nrnc_C96446.html
C43473,0402WGF2212TCE,UNI-ROYAL(Uniroyal Elec),0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 22.1kΩ 0402 Chip Resistor - Surface Mount ROHS,yes,200,100,0.0005,0.10,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0402wgf2212tce_C43473.html
C21376,0402WGJ0000TCE,UNI-ROYAL(Uniroyal Elec),0402,,62.5mW Thick Film Resistors 50V ±5% 0Ω 0402 Chip Resistor - Surface Mount ROHS,yes,200,100,0.0004,0.08,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0402wgj0000tce_C21376.html
C307746,MLP2016V2R2MT0S1,TDK,"SMD,1.6x2mm",,"1A 2.2uH ±20% 170mΩ SMD,1.6x2mm Inductors (SMD) ROHS",yes,10,5,0.0746,0.75,https://www.lcsc.com/product-detail/inductors-smd_tdk-mlp2016v2r2mt0s1_C307746.html
C11702,0402WGF1001TCE,UNI-ROYAL(Uniroyal Elec),0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 1kΩ 0402 Chip Resistor - Surface Mount ROHS,yes,200,100,0.0005,0.10,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0402wgf1001tce_C11702.html
C114877,RC0402FR-07470RL,YAGEO,0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 470Ω 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0006,0.06,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_yageo-rc0402fr-07470rl_C114877.html
C478888,C0603B104K500NT,TORCH,0603,,50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,25,25,0.0043,0.11,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_torch-c0603b104k500nt_C478888.html
C352271,AECR0805F12R0K9,RESI,0805,,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 12Ω 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0010,0.10,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_resi-aecr0805f12r0k9_C352271.html
C17604,0805W8F2001T5E,UNI-ROYAL(Uniroyal Elec),0805,,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 2kΩ 0805 Chip Resistor - Surface Mount ROHS,yes,200,100,0.0017,0.34,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0805w8f2001t5e_C17604.html
C17630,0805W8F3300T5E,UNI-ROYAL(Uniroyal Elec),0805,,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 330Ω 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0018,0.18,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0805w8f3300t5e_C17630.html
C25890,0402WGF3301TCE,UNI-ROYAL(Uniroyal Elec),0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 3.3kΩ 0402 Chip Resistor - Surface Mount ROHS,yes,200,100,0.0006,0.12,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0402wgf3301tce_C25890.html
C22966,0603WAF2700T5E,UNI-ROYAL(Uniroyal Elec),0603,,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 270Ω 0603 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0011,0.11,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0603waf2700t5e_C22966.html
C25104,0402WGF3300TCE,UNI-ROYAL(Uniroyal Elec),0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 330Ω 0402 Chip Resistor - Surface Mount ROHS,yes,200,100,0.0006,0.12,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0402wgf3300tce_C25104.html
C159019,RTT024R75FTH,RALEC,0402,,62.5mW Thick Film Resistors 50V ±1% ±200ppm/℃ 4.75Ω 0402 Chip Resistor - Surface Mount ROHS,yes,50,50,0.0003,0.02,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_ralec-rtt024r75fth_C159019.html
