LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price($),Ext.Price($),Product Link
C85619,MB6S-TP,MCC(Micro Commercial Components),MBS,,35A 1V@400mA 800mA 600V MBS Bridge Rectifiers ROHS,yes,20,10,0.0442,0.88,https://www.lcsc.com/product-detail/bridge-rectifiers_mcc-micro-commercial-components-mb6s-tp_C85619.html
C18359,0805W8F3601T5E,UNI-ROYAL(Uniroyal Elec),0805,,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 3.6kΩ 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0017,0.17,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0805w8f3601t5e_C18359.html
C913904,CL10A225KB8NNNC,Samsung Electro-Mechanics,0603,,50V 2.2uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,20,20,0.0205,0.41,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl10a225kb8nnnc_C913904.html
C14663,CC0603KRX7R9BB104,YAGEO,0603,,50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,200,100,0.0020,0.40,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_yageo-cc0603krx7r9bb104_C14663.html
C412436,RS1M,MDD(Microdiode Semiconductor),SMA,,1.3V@1A 500ns Independent Type 1A 1kV SMA Fast Recovery / High Efficiency Diodes ROHS,yes,50,50,0.0087,0.44,https://www.lcsc.com/product-detail/fast-recovery-high-efficiency-diodes_mdd-microdiode-semiconductor-rs1m_C412436.html
C241854,SM2396EK,Shenzhen Sunmoon Micro,ESOP-8,,ESOP-8 LED Drivers ROHS,yes,3,1,0.0803,0.24,https://www.lcsc.com/product-detail/led-drivers_shenzhen-sunmoon-micro-sm2396ek_C241854.html
C1848,CL31B105KBHNNNE,Samsung Electro-Mechanics,1206,,50V 1uF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,50,0.0148,1.48,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl31b105kbhnnne_C1848.html
C20754717,CFA2J473JC4PK5136A00,Dersonic,"Plugin,P=5.08mm",,"±5% 630V 47nF Plugin,P=5.08mm Film Capacitors ROHS",yes,20,20,0.0263,0.53,https://www.lcsc.com/product-detail/film-capacitors_dersonic-cfa2j473jc4pk5136a00_C20754717.html
C86295,CL10A226MP8NUNE,Samsung Electro-Mechanics,0603,,10V 22uF X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,30,30,0.0120,0.36,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl10a226mp8nune_C86295.html
C3034527,MHT10UF400V87EC0217,KNSCHA,"Plugin,D6.3xL16mm",,"10uF 400V ±20% Plugin,D6.3xL16mm Aluminum Electrolytic Capacitors - Leaded ROHS",yes,5,5,0.0942,0.47,https://www.lcsc.com/product-detail/aluminum-electrolytic-capacitors-leaded_knscha-mht10uf400v87ec0217_C3034527.html
C25126,0402WGF5600TCE,UNI-ROYAL(Uniroyal Elec),0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 560Ω 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0005,0.05,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0402wgf5600tce_C25126.html
C136191,SM7035P,Shenzhen Sunmoon Micro,SOIC-8,,SOIC-8 AC-DC Controllers and Regulators ROHS,yes,5,5,0.2393,1.20,https://www.lcsc.com/product-detail/ac-dc-controllers-and-regulators_shenzhen-sunmoon-micro-sm7035p_C136191.html
C5142238,X6511FRS-05-C85D30,XKB Connection,"SMD,P=2.54mm,Surface Mount，Right Angle",,"2.54mm Single Row 5P Horizontal attachment 1x5P 8.5mm SMD,P=2.54mm,Surface Mount，Right Angle Female Headers ROHS",yes,10,5,0.1593,1.59,https://www.lcsc.com/product-detail/female-headers_xkb-connection-x6511frs-05-c85d30_C5142238.html
C88842,16YXJ330M6.3X11,Rubycon,"Plugin,D6.3xL11mm",,"330uF 16V 220mΩ@100kHz ±20% 400mA@100kHz Plugin,D6.3xL11mm Aluminum Electrolytic Capacitors - Leaded ROHS",yes,10,10,0.0635,0.64,https://www.lcsc.com/product-detail/aluminum-electrolytic-capacitors-leaded_rubycon-16yxj330m6-3x11_C88842.html
C908438,E1J,GOODWORK,SOD-123FL,,1.7V@1A 35ns Independent Type 1A 600V SOD-123FL Fast Recovery / High Efficiency Diodes ROHS,yes,50,50,0.0075,0.38,https://www.lcsc.com/product-detail/fast-recovery-high-efficiency-diodes_goodwork-e1j_C908438.html
C209744,FR2W-22Ω±5%-P5.0,CCO(Chian Chia Elec),"Plugin,P=5mm",,"Safety Resistor 22Ω 2W ±200ppm/℃ ±5% Plugin,P=5mm Through Hole Resistors ROHS",yes,20,10,0.0649,1.30,https://www.lcsc.com/product-detail/through-hole-resistors_cco-chian-chia-elec-fr2w-22-5-p5-0_C209744.html
C18002,1206W4F2000T5E,UNI-ROYAL(Uniroyal Elec),1206,,250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 200Ω 1206 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0028,0.28,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-1206w4f2000t5e_C18002.html
